"104384","0202301081","30","For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)","104383","DIT","104384"
"104387","0202301081","80","Of bison","104384","DIT","104387"
"104390","0202301082","80","Other","104384","DIT","104390"
"104385","0202301083","10","For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)","104383","DIT","104385"
"104388","0202301083","80","Of bison","104385","DIT","104388"
"104391","0202301084","80","Other","104385","DIT","104391"
"104408","0202301085","10","Other","104383","DIT","104408"
"104409","0202301085","80","Of bison","104408","DIT","104409"
"104410","0202301086","80","Other","104408","DIT","104410"
"104386","0202301087","10","Other","104382","DIT","104386"
"104389","0202301087","80","Of bison","104386","DIT","104389"
"104392","0202301088","80","Other","104386","DIT","104392"
"27910","0202305000","80","Crop, chuck-and-blade and brisket cuts","27904","DIT","27910"
"104393","0202305011","10","High quality beef and veal","27910","DIT","104393"
"104394","0202305011","80","Of bison","104393","DIT","104394"
"104395","0202305015","80","Other","104393","DIT","104395"
"104396","0202305081","10","Other","27910","DIT","104396"
"104397","0202305081","20","Intended for processing","104396","DIT","104397"
"104398","0202305081","30","For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)","104397","DIT","104398"
"104399","0202305081","80","Of bison","104398","DIT","104399"
"104402","0202305082","80","Other","104398","DIT","104402"
"104405","0202305083","10","For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)","104397","DIT","104405"
"104400","0202305083","80","Of bison","104405","DIT","104400"
"104403","0202305084","80","Other","104405","DIT","104403"
"104411","0202305085","10","Other","104397","DIT","104411"
"104412","0202305085","80","Of bison","104411","DIT","104412"
"104413","0202305086","80","Other","104411","DIT","104413"
"104406","0202305087","10","Other","104396","DIT","104406"
"104401","0202305087","80","Of bison","104406","DIT","104401"
"104404","0202305088","80","Other","104406","DIT","104404"
"27915","0202309000","80","Other","27904","DIT","27915"
"104419","0202309011","10","High quality","27915","DIT","104419"
"104414","0202309011","80","Of bison","104419","DIT","104414"
"104421","0202309015","80","Other","104419","DIT","104421"
"104422","0202309041","10","Other","27915","DIT","104422"
